"","param","cv","metrics","val_acc","matrix","model"
"21","n_components","cv1","500",0.570428696,"[[ 224    3    0    0    1    0    0    0    0    0   58]
 [   1  363    0    0   28    0    0    0   31  161    7]
 [   0    6   14    0    1    0    0    3    2    1    1]
 [   0    1    0    0    0    0    0    1    7    1    0]
 [   1   12    0    0   57    0    3   25  382  136    2]
 [   0    9    0    0    5    0    0    1   57  114    1]
 [   1    3    0    0   23    0    0   15  223   38    3]
 [   0    1    0    0    3    0    0  752  122    0    0]
 [   3   30    2    0   45    0    0  279 1273  442    3]
 [   2   65    1    0   57    0    0    0  431 1108    3]
 [  63   19    0    0    0    0    0    5    0    2  121]]","encoder"
"22","n_components","cv2","500",0.600029163,"[[ 223   10    1    0    3    0    0    1    0    0   48]
 [   1  379    0    0    2    0    0    2   22  181    4]
 [   0    4   12    0    4    0    0    2    4    2    0]
 [   1    0    0    0    0    0    0    0    3    5    1]
 [   1   10    0    0   34    0    0    3  361  209    0]
 [   0    1    0    0    2    0    0    0   27  156    1]
 [   0    4    0    0   14    0    0    2  228   58    0]
 [   0    0    1    0    0    0    0  734  143    0    0]
 [   2    9    1    0    9    0    1  191 1290  574    0]
 [   0   27    0    0   10    0    0    1  299 1329    1]
 [  60   21    0    0    2    0    0    1    4    8  114]]","encoder"
"23","n_components","cv3","500",0.613881598,"[[ 237    2    0    0    1    0    0    2    3    3   38]
 [   0  391    0    0    7    0    0    0   15  172    6]
 [   1    4    9    0    1    0    0    8    3    1    1]
 [   0    0    0    0    0    0    0    0    3    3    4]
 [   0   10    0    0   72    0    1    1  338  194    2]
 [   0    6    0    0    3    0    0    0   15  163    0]
 [   1    1    0    0   31    0    1    4  216   52    0]
 [   0    0    0    0    1    0    0  730  146    0    1]
 [   0   12    0    0   44    0    1  187 1276  556    1]
 [   0   58    0    0   40    0    0    0  190 1377    2]
 [  73    4    0    0    4    0    0    3    1    8  117]]","encoder"
"24","n_components","cv4","500",0.56824147,"[[ 228    2    0    0    4    0    0    1    0    0   51]
 [   4  400    2    0   22    0    0    0   31  125    7]
 [   0    6    5    0    1    0    0    9    2    0    5]
 [   0    2    0    0    2    0    0    0    4    1    1]
 [   1   30    0    0   85    0    2    3  333  158    6]
 [   1   17    0    0    9    0    0    0   32  128    0]
 [   0   10    1    0   50    0    1    4  187   50    3]
 [   1    0    0    0    1    0    0  785   91    0    0]
 [   6   58    0    0  113    0    2  252 1208  436    2]
 [   3  121    0    0  124    0    0    0  345 1072    2]
 [  86    2    0    0    4    0    0    0    3    2  113]]","encoder"
"25","n_components","cv5","500",0.615485564,"[[ 246    1    0    0    4    0    0    2    8    0   25]
 [   3  367    0    0    4    0    0    2   45  169    1]
 [   0    1   17    0    1    0    0    0    5    3    1]
 [   0    0    0    0    2    0    0    1    6    0    1]
 [   1    2    0    0   49    0    0    3  428  135    0]
 [   1    3    0    0    2    0    0    1   39  141    0]
 [   1    3    0    0   13    0    0    2  248   39    0]
 [   0    0    0    0    0    0    0  797   81    0    0]
 [   0    6    0    0   18    0    0  223 1357  473    0]
 [   1   21    0    0   23    0    0    0  340 1282    0]
 [  85    2    0    0    5    0    0    2    8    2  106]]","encoder"
"26","n_neighbours","cv1","4",0.404491105,"[[ 253    3    0    0    0    3    0    0    0    9   18]
 [   0  389    0    0    8    0    1    0   34  159    0]
 [   1    2   22    0    0    0    1    0    0    2    0]
 [   1    1    0    0    0    1    0    0    3    4    0]
 [   0   33    0   10  129    5   19    0  118  304    0]
 [   0   18    0    1   14    2    0    0   34  118    0]
 [   0   11    0    8   71    3   10    0   67  136    0]
 [   1   40    0    0   19   18    3   39  534  224    0]
 [   2  111    0    7  130   11   36    2  681 1097    0]
 [   2  128    0    3   94    8    8    0  267 1157    0]
 [  90   14    0    0    0    0    0    0    1   13   92]]","knn"
"27","n_neighbours","cv1","5",0.414843978,"[[ 233    1    0    0    0    1    0    0    0   13   38]
 [   1  380    0    0    7    0    1    0   37  165    0]
 [   0    2   22    0    1    0    1    0    0    2    0]
 [   1    1    0    0    0    1    0    0    4    3    0]
 [   0   29    0    6  111    2   24    0  145  301    0]
 [   0   17    0    1   14    0    0    0   35  120    0]
 [   0    7    0    1   65    1   17    0   75  140    0]
 [   1   27    0    0   13   10    6   51  543  227    0]
 [   2   69    0    1  101    7   51    5  725 1116    0]
 [   2   98    0    0   71    4    8    0  284 1200    0]
 [  75   16    0    0    0    0    1    0    0   12  106]]","knn"
"28","n_neighbours","cv1","6",0.422863809,"[[ 256    1    0    0    0    0    0    0    0   13   16]
 [   0  369    0    0   11    1    1    0   33  176    0]
 [   0    1   22    0    1    0    1    0    0    3    0]
 [   1    1    0    0    0    1    0    0    2    5    0]
 [   0   14    0    0  127    2   19    0  147  309    0]
 [   0   12    0    0   11    0    2    0   37  125    0]
 [   0    7    0    0   82    2   13    0   69  133    0]
 [   0   23    0    0   15   12    3   50  546  229    0]
 [   2   63    0    0  109    6   42    3  707 1145    0]
 [   0   75    0    0   65    3    8    0  256 1260    0]
 [  85   14    0    0    0    0    1    0    1   13   96]]","knn"
"29","n_neighbours","cv1","8",0.433945757,"[[ 252    1    0    0    0    0    0    0    0   15   18]
 [   0  366    0    0    4    1    0    0   27  193    0]
 [   0    2   22    0    2    0    0    0    0    2    0]
 [   2    0    0    0    0    0    0    0    2    6    0]
 [   0   14    0    0  108    2   10    0  145  339    0]
 [   0    7    0    0   10    0    1    0   30  139    0]
 [   0    5    0    0   67    0   10    0   68  156    0]
 [   1   13    0    0    7    7    0   32  585  233    0]
 [   2   43    0    0   73    0   13    2  710 1234    0]
 [   0   37    0    0   40    0    3    0  215 1372    0]
 [  76   14    0    0    2    0    0    0    0   14  104]]","knn"
"30","n_neighbours","cv1","10",0.440361621,"[[ 253    1    0    0    0    0    0    0    1   13   18]
 [   0  366    0    0    4    0    0    0   21  200    0]
 [   0    1   22    0    0    0    0    0    1    4    0]
 [   2    0    0    0    0    0    0    0    2    6    0]
 [   0    8    0    0  109    1    9    0  138  353    0]
 [   0    6    0    0    9    0    0    0   31  141    0]
 [   0    3    0    0   60    0    7    0   75  161    0]
 [   1   10    0    0    9    2    1   28  583  244    0]
 [   2   29    0    0   72    0   10    1  708 1255    0]
 [   0   24    0    0   32    0    1    0  191 1419    0]
 [  75   12    0    0    2    0    0    0    0   13  108]]","knn"
