cv,param,metrics,val_acc,matrix
cv3,n_neighbours,50,0.433508311,"[[ 218    1    0    0    0    0    0    0    0   14   53]
 [   0  380    0    0    0    0    0    0    6  205    0]
 [   0    1   19    0    0    0    0    0    0    8    0]
 [   0    0    0    0    0    0    0    0    0    9    1]
 [   0    2    0    0   12    0    0    0   91  513    0]
 [   0    0    0    0    1    0    0    0    5  181    0]
 [   0    1    0    0    6    0    0    0   78  221    0]
 [   1    4    0    0    0    0    0    4  615  254    0]
 [   0    9    0    0    2    0    0    0  581 1485    0]
 [   0    0    0    0    3    0    0    0   23 1641    0]
 [  50   18    0    0    0    0    0    0    1   23  118]]"
cv3,n_neighbours,70,0.428988043,"[[ 212    1    0    0    0    0    0    0    0   15   58]
 [   0  380    0    0    0    0    0    0    7  204    0]
 [   0    2   18    0    0    0    0    0    0    7    1]
 [   0    2    0    0    0    0    0    0    1    7    0]
 [   0    2    0    0    5    0    0    0   92  519    0]
 [   0    0    0    0    0    0    0    0    2  185    0]
 [   0    0    0    0    5    0    0    0   74  227    0]
 [   1    2    0    0    0    0    0    5  609  261    0]
 [   0    5    0    0    1    0    0    0  551 1520    0]
 [   0    0    0    0    1    0    0    0   14 1652    0]
 [  49   15    0    0    0    0    0    0    1   26  119]]"
cv3,n_neighbours,99,0.427821522,"[[ 211    2    0    0    0    0    0    0    0   14   59]
 [   0  381    0    0    0    0    0    0    4  206    0]
 [   0    1   17    0    0    0    0    0    0    9    1]
 [   0    1    0    0    0    0    0    0    2    7    0]
 [   0    0    0    0    2    0    0    0   79  537    0]
 [   0    0    0    0    0    0    0    0    3  184    0]
 [   0    0    0    0    2    0    0    0   71  233    0]
 [   1    1    0    0    0    0    0    4  597  275    0]
 [   0    4    0    0    0    0    0    0  538 1535    0]
 [   0    0    0    0    0    0    0    0    9 1658    0]
 [  44   14    0    0    0    0    0    0    1   28  123]]"
cv4,n_neighbours,4,0.41032371,"[[ 242    2    0    0    0    0    0    0    1   18   23]
 [   0  401    0    0    3    4    1    0   18  164    0]
 [   0    4   19    0    0    0    1    0    0    2    2]
 [   0    1    0    0    1    0    0    0    2    5    1]
 [   0   27    0    0   99    5   27    0  117  343    0]
 [   0   10    0    0   10    1    1    0   18  147    0]
 [   0   12    0    0   46    2   19    0   54  173    0]
 [   1   60    0    0   13   15    6   35  477  271    0]
 [   2  133    0    0  103   14   36    2  603 1184    0]
 [   0  107    0    0   51   10    4    0  198 1297    0]
 [  80   17    0    0    0    1    0    0    0   14   98]]"
cv4,n_neighbours,5,0.412802566,"[[ 220    4    0    0    0    1    0    0    0   20   41]
 [   0  387    0    0    1    3    2    0   13  185    0]
 [   0    3   19    0    0    0    1    0    0    3    2]
 [   0    1    0    0    1    0    0    0    1    6    1]
 [   0   19    0    0   80    2   36    0  137  344    0]
 [   0    6    0    0    9    1    0    0   29  142    0]
 [   0   10    0    0   42    1   22    0   60  171    0]
 [   1   45    0    0    8    6    1   36  500  281    0]
 [   2  101    0    0   67    8   44    2  627 1226    0]
 [   0   76    0    0   36    5    8    0  218 1324    0]
 [  60   19    0    0    0    1    0    0    0   15  115]]"
cv4,n_neighbours,6,0.420093322,"[[ 243    4    0    0    0    0    0    0    0   18   21]
 [   0  394    0    0    1    3    3    0   14  176    0]
 [   0    3   19    0    0    0    1    0    0    3    2]
 [   0    1    0    0    0    0    0    0    2    6    1]
 [   0   16    0    0   80    4   30    0  131  357    0]
 [   0    5    0    0    7    1    2    0   21  151    0]
 [   0    8    0    0   46    1   19    0   58  174    0]
 [   1   37    0    0    9    7    1   38  518  267    0]
 [   1   84    0    0   67    6   38    2  611 1268    0]
 [   0   59    0    0   34    6    8    0  191 1369    0]
 [  73   17    0    0    0    1    0    0    0   12  107]]"
cv4,n_neighbours,8,0.427092447,"[[ 238    0    0    0    0    0    0    0    0   22   26]
 [   0  388    0    0    1    1    2    0   18  181    0]
 [   0    3   19    0    0    0    0    0    1    3    2]
 [   0    1    0    0    0    0    0    0    2    6    1]
 [   0   11    0    0   71    2   15    0  120  399    0]
 [   0    2    0    0    5    0    0    0   20  160    0]
 [   0    6    0    0   37    0   12    0   61  190    0]
 [   1   40    0    0    2    3    0   33  515  284    0]
 [   2   55    0    0   49    1   17    2  610 1341    0]
 [   0   39    0    0   20    1    2    0  157 1448    0]
 [  68   15    0    0    0    0    0    0    0   17  110]]"
cv4,n_neighbours,10,0.435112278,"[[ 237    2    0    0    0    0    0    0    0   19   28]
 [   0  386    0    0    0    0    2    0   13  190    0]
 [   0    2   19    0    0    0    0    0    1    4    2]
 [   0    1    0    0    0    0    0    0    3    5    1]
 [   0    8    0    0   76    0   12    0  125  397    0]
 [   0    3    0    0    2    0    1    0   17  164    0]
 [   0    6    0    0   29    0   11    0   62  198    0]
 [   1   31    0    0    3    3    0   33  521  286    0]
 [   2   42    0    0   38    1   11    1  628 1354    0]
 [   0   30    0    0   18    0    1    0  137 1481    0]
 [  68   13    0    0    0    0    0    0    0   16  113]]"
cv4,n_neighbours,30,0.434674832,"[[ 223    3    0    0    0    0    0    0    0   22   38]
 [   0  379    0    0    0    0    0    0    6  206    0]
 [   0    2   18    0    0    0    0    0    2    4    2]
 [   0    2    0    0    0    0    0    0    2    5    1]
 [   0    4    0    0   19    0    3    0  115  477    0]
 [   0    0    0    0    1    0    0    0    8  178    0]
 [   0    4    0    0    5    0    0    0   71  226    0]
 [   1    4    0    0    0    0    0   11  571  291    0]
 [   2   15    0    0    3    0    1    0  604 1452    0]
 [   0    8    0    0    0    0    0    0   57 1602    0]
 [  53   11    0    0    0    0    0    0    1   20  125]]"
cv4,n_neighbours,50,0.435549723,"[[ 220    0    0    0    0    0    0    0    0   23   43]
 [   0  371    0    0    0    0    0    0    5  215    0]
 [   0    1   17    0    0    0    0    0    2    6    2]
 [   0    2    0    0    0    0    0    0    2    5    1]
 [   0    3    0    0    9    0    0    0  104  502    0]
 [   0    0    0    0    0    0    0    0    3  184    0]
 [   0    1    0    0    1    0    1    0   58  245    0]
 [   1    0    0    0    0    0    0    9  585  283    0]
 [   2    8    0    0    0    0    0    0  597 1470    0]
 [   0    1    0    0    0    0    0    0   28 1638    0]
 [  51   12    0    0    0    0    0    0    2   20  125]]"
