metrics,matrix,val_acc,cv,param
5,"[[ 218    0    0    0    0    0    0    0   66    0    2]
 [   0  341    0    0    0    0    0    0  126  124    0]
 [   1    0    1    0    0    0    0    1   25    0    0]
 [   0    0    0    0    0    0    0    0   10    0    0]
 [   0    0    0    0    0    0    0    0  537   81    0]
 [   0    0    0    0    0    0    0    0   63  124    0]
 [   0    0    0    0    0    0    0    0  286   20    0]
 [   0    0    0    0    0    0    0  630  248    0    0]
 [   0    0    0    0    0    0    0   49 1698  330    0]
 [   0    0    0    0    0    0    0    0  588 1079    0]
 [  90    2    0    0    0    0    0    1   51    1   65]]",0.587926509,cv5,max_depth
8,"[[ 262    1    0    0    0    0    0    1   16    2    4]
 [   0  369    0    0    0    0    0    0   48  173    1]
 [   1    0   17    0    0    0    0    0    9    1    0]
 [   0    1    0    0    0    0    0    0    7    2    0]
 [   0    0    0    0    0    0    0    0  428  190    0]
 [   0    0    0    0    0    0    0    0   23  164    0]
 [   0    0    0    0    0    0    0    0  248   58    0]
 [   0    0    0    0    0    0    0  718  160    0    0]
 [   0    3    0    0    0    0    0  102 1463  509    0]
 [   0    1    0    0    0    0    0    0  207 1459    0]
 [  95    6    0    0    0    0    0    1   22    3   83]]",0.63735783,cv5,max_depth
15,"[[ 271    1    0    0    0    0    0    0    5    1    8]
 [   0  377    0    0    0    0    0    0   23  187    4]
 [   1    0   17    0    0    0    0    0    6    2    2]
 [   0    0    0    0    0    0    0    1    7    1    1]
 [   0    1    0    0   17    0    0    0  396  204    0]
 [   0    0    0    0    1    0    0    0   19  167    0]
 [   0    0    0    0    2    0    0    0  240   64    0]
 [   0    0    0    0    0    0    0  783   95    0    0]
 [   0    3    0    0    0    0    0  138 1373  563    0]
 [   1    1    0    0    1    0    0    0  138 1525    1]
 [  89    3    0    0    0    0    0    1    4    2  111]]",0.652376786,cv5,max_depth
25,"[[ 269    1    0    0    0    0    0    0    4    2   10]
 [   1  376    0    0    1    0    0    0   23  186    4]
 [   1    2   17    0    0    0    0    0    4    3    1]
 [   0    0    0    0    1    0    0    1    5    1    2]
 [   0    1    0    0   75    0    0    0  346  196    0]
 [   0    0    0    0    1    0    0    0   16  169    1]
 [   0    0    0    0   11    0    0    0  242   53    0]
 [   0    0    0    0    0    0    0  786   92    0    0]
 [   0    4    0    0    3    0    0  131 1412  527    0]
 [   0    1    0    0    3    0    0    0  127 1534    2]
 [  88    1    0    0    0    0    0    1    4    3  113]]",0.668124818,cv5,max_depth
30,"[[ 269    1    0    0    0    0    0    0    4    1   11]
 [   1  375    0    0    0    0    0    0   26  184    5]
 [   2    0   17    0    1    0    0    0    5    1    2]
 [   0    0    0    0    0    0    0    1    6    1    2]
 [   0    1    0    0   72    0    0    2  342  201    0]
 [   0    0    0    0    1    0    0    0   19  167    0]
 [   0    0    0    0   12    0    0    0  228   66    0]
 [   0    0    0    0    0    0    0  777  101    0    0]
 [   0    1    0    0    2    0    0  139 1398  537    0]
 [   0    1    0    0    3    0    0    0  135 1526    2]
 [  85    2    0    0    0    0    0    1    4    2  116]]",0.663458734,cv5,max_depth
1,"[[ 280    0    0    0    0    0    0    0    0    0    6]
 [   0  362    0    0    2    0    0    1   31  191    4]
 [   0    1   16    0    0    0    0    1    8    1    1]
 [   1    0    0    0    0    0    0    0    6    2    1]
 [   0    0    0    0   89    0    0    0  340  189    0]
 [   0    0    0    0    0    0    0    0   28  159    0]
 [   0    0    0    0   26    0    1    1  227   51    0]
 [   1    0    0    0    0    0    0  795   82    0    0]
 [   1    1    0    0    6    0    0  133 1446  490    0]
 [   1    0    0    0    6    0    0    0  185 1474    1]
 [  95    2    0    0    0    0    0    0    1    3  109]]",0.666666667,cv1,min_leaf
2,"[[ 284    0    0    0    0    0    0    0    0    0    2]
 [   0  362    0    0    3    0    0    0   24  198    4]
 [   0    2   16    0    0    0    0    1    4    4    1]
 [   1    0    0    0    0    0    0    0    5    3    1]
 [   0    0    0    0   70    0    0    1  352  195    0]
 [   0    0    0    0    2    0    0    0   25  160    0]
 [   0    0    0    0   21    0    0    0  227   58    0]
 [   1    1    0    0    0    0    0  784   92    0    0]
 [   2    1    0    0    3    0    0  124 1389  558    0]
 [   0    0    0    0    3    0    0    0  172 1490    2]
 [ 104    3    0    0    0    0    0    0    1    3   99]]",0.655293088,cv1,min_leaf
5,"[[ 282    0    0    0    0    0    0    0    0    0    4]
 [   1  361    0    0    2    0    0    0   24  200    3]
 [   0    1   16    0    0    0    0    1    6    2    2]
 [   1    0    0    0    0    0    0    0    6    2    1]
 [   0    0    0    0   65    0    0    0  339  214    0]
 [   0    0    0    0    1    0    0    0   17  169    0]
 [   0    0    0    0   18    0    0    0  237   51    0]
 [   1    0    0    0    0    0    0  787   90    0    0]
 [   2    0    0    0    1    0    0  123 1389  562    0]
 [   1    0    0    0    5    0    0    0  140 1520    1]
 [ 102    5    0    0    0    0    0    0    1    3   99]]",0.658938466,cv1,min_leaf
10,"[[ 280    0    0    0    0    0    0    0    0    0    6]
 [   0  364    0    0    1    0    0    1   22  200    3]
 [   0    1   16    0    0    0    0    1    5    3    2]
 [   1    0    0    0    0    0    0    0    5    3    1]
 [   0    0    0    0   46    0    0    0  370  202    0]
 [   0    0    0    0    1    0    0    0   23  163    0]
 [   0    0    0    0    8    0    0    0  248   50    0]
 [   1    2    0    0    0    0    0  784   91    0    0]
 [   2    1    0    0    0    0    0  119 1377  578    0]
 [   0    0    0    0    1    0    0    0  143 1521    2]
 [ 102    4    0    0    0    0    0    0    1    3  100]]",0.654418198,cv1,min_leaf
1,"[[ 281    0    0    0    0    0    0    0    1    0    4]
 [   0  392    0    0    0    0    0    0   31  165    3]
 [   0    4   14    0    0    0    0    0    6    3    1]
 [   0    1    0    0    0    0    0    0    5    3    1]
 [   0    1    0    0   84    0    0    0  355  178    0]
 [   0    0    0    0    3    0    0    0   28  156    0]
 [   0    0    0    0   21    0    0    0  238   47    0]
 [   0    0    0    0    0    0    0  788   90    0    0]
 [   1    2    0    0    8    0    0  137 1449  480    0]
 [   0    1    0    0    9    0    0    0  193 1461    3]
 [  94    1    0    0    0    0    0    1    5    8  101]]",0.666375036,cv2,min_leaf
2,"[[ 276    0    0    0    0    0    0    0    2    0    8]
 [   0  394    0    0    3    0    0    0   22  171    1]
 [   0    2   14    0    0    0    0    0   11    0    1]
 [   0    1    0    0    0    0    0    0    4    4    1]
 [   0    1    0    0   69    0    0    0  348  200    0]
 [   0    0    0    0    1    0    0    0   23  163    0]
 [   0    0    0    0   13    0    0    0  241   52    0]
 [   0    0    0    0    0    0    0  789   89    0    0]
 [   1    2    0    0    6    0    0  142 1399  527    0]
 [   1    1    0    0    5    0    0    0  170 1488    2]
 [  91    3    0    0    0    0    0    0    7    8  101]]",0.660542432,cv2,min_leaf
5,"[[ 276    0    0    0    0    0    0    0    2    0    8]
 [   0  394    0    0    0    0    0    0   25  170    2]
 [   0    4   14    0    0    0    0    0    6    3    1]
 [   0    1    0    0    0    0    0    0    4    4    1]
 [   0    1    0    0   49    0    0    0  379  189    0]
 [   0    0    0    0    2    0    0    0   21  164    0]
 [   0    0    0    0    7    0    0    0  248   51    0]
 [   0    0    0    0    0    0    0  775  103    0    0]
 [   1    2    0    0    3    0    0  140 1404  527    0]
 [   0    2    0    0    2    0    0    0  166 1496    1]
 [ 102    3    0    0    0    0    0    0    8    8   89]]",0.655730534,cv2,min_leaf
